issue_id,page_number,issue,highlighted_context,pass_code,error_category,confidence_score,reasoning
0,4,underequipped,"...ceed to the Stamford Bridge dangerously **underequipped**. They left their shields, helmets, coat...",PassCode.LTC,ErrorCategory.FALSE_POSITIVE,90,Underequipped is a valid adjective in UK English.
1,14,underequipped,"...ceed to the Stamford Bridge dangerously **underequipped**. They left their shields, helmets, coat...",PassCode.LTC,ErrorCategory.FALSE_POSITIVE,90,Underequipped is a valid adjective in UK English.
2,18,hit and run,...ich allowed them to strike inland using **hit and run** tactics that reduced the numbers of Vik...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,90,Hit and run is a valid compound noun in UK English.
3,19,Britian,"...s the Bald to repel them, the island of **Britian** gave them an opportunity and launchpad ...",PassCode.LTC,ErrorCategory.SPELLING_ERROR,90,Britian is a misspelling; the correct spelling is Britain.
4,19,westwards,... an opportunity and launchpad to expand **westwards**. - The item is an extract from a commen...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,90,Westwards is a valid adverb in UK English.
5,19,westwards,"...ample, the Vikings' successes in moving **westwards** may also be attributed to them establis...",PassCode.LTC,ErrorCategory.FALSE_POSITIVE,90,Westwards is a valid adverb in UK English.
6,34,ks,...-|-------------|--------------| | n o | **ks** |  |  |  | 3.1.1 |  |  |  |  |  | 3.1.2...,PassCode.LTC,ErrorCategory.PARSING_ERROR,80,ks appears to be a typographical error or misformatting.
7,34,sti,... 3.1.4 |  |  |  |  |  | 3.1.5 |  |  | | **sti** e u Q | ar M | ai 3.1.1 | aii 3.1.1 | b...,PassCode.LTC,ErrorCategory.PARSING_ERROR,80,sti appears to be a typographical error or misformatting.
8,34,ai,...|  | 3.1.5 |  |  | | sti e u Q | ar M | **ai** 3.1.1 | aii 3.1.1 | bi 3.1.1 | bii 3.1....,PassCode.LTC,ErrorCategory.PARSING_ERROR,80,ai appears to be a typographical error or misformatting.
9,34,aii,...|  |  | | sti e u Q | ar M | ai 3.1.1 | **aii** 3.1.1 | bi 3.1.1 | bii 3.1.1 | ci 3.1.1...,PassCode.LTC,ErrorCategory.PARSING_ERROR,80,aii appears to be a typographical error or misformatting.
10,34,bii,...r M | ai 3.1.1 | aii 3.1.1 | bi 3.1.1 | **bii** 3.1.1 | ci 3.1.1 | cii 3.1.1 | ai 2 3.1...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,90,Correct abbreviation for the context; no error.
11,34,ci,....1 | aii 3.1.1 | bi 3.1.1 | bii 3.1.1 | **ci** 3.1.1 | cii 3.1.1 | ai 2 3.1. | aii 2 3...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,90,Correct abbreviation for the context; no error.
12,34,cii,...1.1 | bi 3.1.1 | bii 3.1.1 | ci 3.1.1 | **cii** 3.1.1 | ai 2 3.1. | aii 2 3.1. | bi 2 3...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,90,Correct abbreviation for the context; no error.
13,34,ai,....1 | bii 3.1.1 | ci 3.1.1 | cii 3.1.1 | **ai** 2 3.1. | aii 2 3.1. | bi 2 3.1. | bii 2...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,90,Correct abbreviation for the context; no error.
14,34,aii,....1 | ci 3.1.1 | cii 3.1.1 | ai 2 3.1. | **aii** 2 3.1. | bi 2 3.1. | bii 2 3.1. | 2ci 3...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,90,Correct abbreviation for the context; no error.
15,34,bii,... | ai 2 3.1. | aii 2 3.1. | bi 2 3.1. | **bii** 2 3.1. | 2ci 3.1. | 2cii 3.1. | ai 3 3....,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,90,Correct abbreviation for the context; no error.
16,34,ai,.... | bii 2 3.1. | 2ci 3.1. | 2cii 3.1. | **ai** 3 3.1. | aii 3 3.1. | bi 3 3.1. | bii 3...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,90,Correct abbreviation for the context; no error.
17,34,aii,...1. | 2ci 3.1. | 2cii 3.1. | ai 3 3.1. | **aii** 3 3.1. | bi 3 3.1. | bii 3 3.1. | 3ci 3...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,90,Correct abbreviation for the context; no error.
18,34,bii,... | ai 3 3.1. | aii 3 3.1. | bi 3 3.1. | **bii** 3 3.1. | 3ci 3.1. | 3cii 3.1. | ai 4 3....,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,90,Correct abbreviation for the context; no error.
19,34,ai,.... | bii 3 3.1. | 3ci 3.1. | 3cii 3.1. | **ai** 4 3.1. | aii 4 3.1. | bi 4 3.1. | bii 4...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,90,Correct abbreviation for the context; no error.
20,34,aii,...1. | 3ci 3.1. | 3cii 3.1. | ai 4 3.1. | **aii** 4 3.1. | bi 4 3.1. | bii 4 3.1. | 4ci 3...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,90,The term 'aii' is a valid WJEC assessment objective code and is correct as written.
21,34,bii,... | ai 4 3.1. | aii 4 3.1. | bi 4 3.1. | **bii** 4 3.1. | 4ci 3.1. | 4cii 3.1. | ai 5 3....,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,90,The term 'bii' is a valid WJEC assessment objective code and is correct as written.
22,34,ai,.... | bii 4 3.1. | 4ci 3.1. | 4cii 3.1. | **ai** 5 3.1. | aii 5 3.1. | bi 5 3.1. | bii 5...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,90,The term 'ai' is a valid WJEC assessment objective code and is correct as written.
23,34,aii,...1. | 4ci 3.1. | 4cii 3.1. | ai 5 3.1. | **aii** 5 3.1. | bi 5 3.1. | bii 5 3.1. | 5ci 3...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,90,The term 'aii' is a valid WJEC assessment objective code and is correct as written.
24,34,bii,... | ai 5 3.1. | aii 5 3.1. | bi 5 3.1. | **bii** 5 3.1. | 5ci 3.1. | 5cii 3.1. | | 1    ...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,90,The term 'bii' is a valid WJEC assessment objective code and is correct as written.
25,35,ks,...d assessment objectives: Unit 3.2  |  | **ks** ar M |  |  |  |  |  |  |  |  |  |  |  |...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,90,The term 'ks' is a valid WJEC assessment objective code and is correct as written.
26,35,sti,...-------------|------------------| | n o **sti** e u Q |  | 3.2.1 |  |  |  |  | 3.2.2 | ...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,90,The term 'sti' is a valid WJEC assessment objective code and is correct as written.
27,35,ai,... |  | 3.2.5 |  |  |  |  |  |  | |  |  | **ai** 2.1 3. | aii 2.1 3. | bi 2.1 3. | bii 2...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,90,The term 'ai' is a valid WJEC assessment objective code and is correct as written.
28,35,aii,...|  |  |  |  |  |  | |  |  | ai 2.1 3. | **aii** 2.1 3. | bi 2.1 3. | bii 2.1 3. | ci 2....,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,90,The term 'aii' is a valid WJEC assessment objective code and is correct as written.
29,35,bii,... | ai 2.1 3. | aii 2.1 3. | bi 2.1 3. | **bii** 2.1 3. | ci 2.1 3. | cii 2.1 3. | ai 2 ...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,90,The term 'bii' is a valid WJEC assessment objective code and is correct as written.
30,35,ci,...| aii 2.1 3. | bi 2.1 3. | bii 2.1 3. | **ci** 2.1 3. | cii 2.1 3. | ai 2 2. 3. | aii ...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,90,The term 'ci' is a valid code in the context of the WJEC documentation.
31,35,cii,... | bi 2.1 3. | bii 2.1 3. | ci 2.1 3. | **cii** 2.1 3. | ai 2 2. 3. | aii 2 2. 3. | bi ...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,90,The term 'cii' is a valid code in the context of the WJEC documentation.
32,35,ai,...| bii 2.1 3. | ci 2.1 3. | cii 2.1 3. | **ai** 2 2. 3. | aii 2 2. 3. | bi 2 2. 3. | bi...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,90,The term 'ai' is a valid code in the context of the WJEC documentation.
33,35,aii,...| ci 2.1 3. | cii 2.1 3. | ai 2 2. 3. | **aii** 2 2. 3. | bi 2 2. 3. | bii 2 2. 3. | 2c...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,90,The term 'aii' is a valid code in the context of the WJEC documentation.
34,35,bii,...ai 2 2. 3. | aii 2 2. 3. | bi 2 2. 3. | **bii** 2 2. 3. | 2ci 2. 3. | 2cii 2. 3. | ai 3...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,90,The term 'bii' is a valid code in the context of the WJEC documentation.
35,35,ai,... bii 2 2. 3. | 2ci 2. 3. | 2cii 2. 3. | **ai** 3 2. 3. | aii 3 2. 3. | bi 3 2. 3. | bi...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,90,The term 'ai' is a valid code in the context of the WJEC documentation.
36,35,aii,...| 2ci 2. 3. | 2cii 2. 3. | ai 3 2. 3. | **aii** 3 2. 3. | bi 3 2. 3. | bii 3 2. 3. | 3c...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,90,The term 'aii' is a valid code in the context of the WJEC documentation.
37,35,bii,...ai 3 2. 3. | aii 3 2. 3. | bi 3 2. 3. | **bii** 3 2. 3. | 3ci 2. 3. | 3cii 2. 3. | ai 4...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,90,The term 'bii' is a valid code in the context of the WJEC documentation.
