issue_id,page_number,issue,highlighted_context,pass_code,error_category,confidence_score,reasoning
0,3,NTRODUCTION,...-----------|------| | •  | l          | **NTRODUCTION**                                        ...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,The word 'NTRODUCTION' is a parsing error; it should be 'INTRODUCTION'.
1,3,Un,...                        | 8    | |    | **Un**         | it 1                         ...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,'Un' is a parsing error; it should be 'Unit' as part of 'Unit 1'.
2,3,Un,...                        | 9    | |    | **Un**         | it 2                         ...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,'Un' is a parsing error; it should be 'Unit' as part of 'Unit 2'.
3,3,Un,...                        | .12  | |    | **Un**         | it 3                         ...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,'Un' is a parsing error; it should be 'Unit' as part of 'Unit 3'.
4,3,Un,...                        | .14  | |    | **Un**         | it 4                         ...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,'Un' is a parsing error; it should be 'Unit' as part of 'Unit 4'.
5,3,Un,...                        | 16   | |    | **Un**         | it 5                         ...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,'Un' is a parsing error; it should be 'Unit' as part of 'Unit 5'.
6,3,Un,...                        | .18  | |    | **Un**         | it 6                         ...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,'Un' is a parsing error; it should be 'Unit' as part of 'Unit 6'.
7,3,portunities,...           | 21   | |    | Ор         | **portunities** for integration of learning experiences...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,'portunities' is a parsing error; it should be 'Opportunities' with the preceding 'Op'.
8,3,endix,"...           |      | | ,  | _          | **endix** A: Opportunities for embedding elements...",PassCode.LTC,ErrorCategory.PARSING_ERROR,100,'endix' is a parsing error; it should be 'Appendix A'.
9,3,endix,... for Wales |      | |    | • •        | **endix** B: Glossary of terms for Unit 6 Discret...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,'endix' is a parsing error; it should be 'Appendix B'.
10,11,𝑛th,... | Learners should be able to: find the **𝑛th **term of arithmetic sequences using: <ul...,PassCode.LTC,ErrorCategory.PARSING_ERROR,95,"An extraneous space has been introduced after '𝑛th', which is a common parsing error."
11,11,𝑛th,...ers should be able to: <ul><li>find the **𝑛th **term of geometric sequences using: 𝑛−1...,PassCode.LTC,ErrorCategory.PARSING_ERROR,95,"An extraneous space has been introduced after '𝑛th', which is a common parsing error."
12,12,i><,"...y, that is, use of d 𝑛) 𝑛𝑥𝑛−1 (𝑥 = d𝑥</l**i><**/ul> | | 2.1.2 Second derivatives ...",PassCode.LTC,ErrorCategory.PARSING_ERROR,100,The HTML/Markdown tag `</l**i&gt;&lt;**/ul&gt;` is malformed and should be `</li></ul>`.
13,12,/li,"... 2 + for example, given 𝑦 = 𝑥 3𝑥 1 2 d𝑥<**/li**></ul> | | 2.1.3 Stationary points o...",PassCode.LTC,ErrorCategory.FALSE_POSITIVE,80,"The `</li>` tag is correctly used to close the list item; the actual issue lies in the mangled mathematical expression preceding it, which the tool did not highlight."
14,13,𝑥,"...>integrate 𝑥 only, that is, 𝑛+1 given d𝑦** 𝑥 **𝑛 (𝑛 −1) = 𝑥 then 𝑦 = + 𝑐 ≠ d𝑥...",PassCode.LTC,ErrorCategory.PARSING_ERROR,100,The mathematical expression `d𝑦 𝑥 𝑛 (𝑛 −1) = 𝑥 then 𝑦 = + 𝑐 ≠ d𝑥 𝑛+1` is severely mangled due to a parsing error.
15,13,/li,...d𝑦 𝑥 𝑛 (𝑛 −1) = 𝑥 then 𝑦 = + 𝑐 ≠ d𝑥 𝑛+1<**/li**></ul> | | 2.2.2 Evaluating def...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,80,"The `</li>` tag is correctly used to close the list item; the actual issue lies in the mangled mathematical expression preceding it, which the tool did not highlight."
16,13,𝑥-axis,...lating the area between a curve and the **𝑥-axis **| Learners should be able to: <ul><li>a...,PassCode.LTC,ErrorCategory.PARSING_ERROR,95,"An extraneous space has been introduced after '𝑥-axis', which is a common parsing error."
17,13,𝑥-axis,"...he curve is entirely above or below the **𝑥-axis **in the given interval, where the interv...",PassCode.LTC,ErrorCategory.PARSING_ERROR,95,"An extraneous space has been introduced after '𝑥-axis', which is a common parsing error."
18,15,"sin𝜃,","...periodicity of the trigonometric graphs **sin𝜃,** 𝑦 𝑦 = = cos𝜃 𝑦 = tan𝜃 and</li></u...",PassCode.LTC,ErrorCategory.FALSE_POSITIVE,80,"The term 'sin𝜃,' is correctly punctuated as part of a list; the actual issue lies in the mangled mathematical expressions that follow, which the tool did not fully highlight."
19,15,𝑦 =,"...city of the trigonometric graphs sin𝜃, 𝑦** 𝑦 = **= cos𝜃 𝑦 = tan𝜃 and</li></ul> | | ...",PassCode.LTC,ErrorCategory.PARSING_ERROR,100,"The expression `𝑦 𝑦 = = cos𝜃` is a clear parsing error, likely intended to be `cos𝜃` or `y = cos𝜃`."
