issue_id,page_number,issue,highlighted_context,pass_code,error_category,confidence_score,reasoning
0,4,JMMARY,...-------------  ### **CONTENTS**  | SU | **JMMARY** OF ASSESSMENT                          ...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,This is a clear parsing error; 'JMMARY' should be 'SUMMARY'.
1,4,pendix,...                          | 59 | | _  | **pendix** A: Opportunities for embedding elements...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,This is a clear parsing error; 'pendix' should be 'Appendix'.
2,21,terms,"... 2.1.3 recognise the definitions of the **terms** equation, expression and formula and be...",PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,"The word 'terms' is correctly used in the phrase 'definitions of the terms equation, expression and formula'."
3,21,terms,"... 2.1.3 recognise the definitions of the **terms** equation, expression and formula and be...",PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,"The word 'terms' is correctly used in the phrase 'definitions of the terms equation, expression and formula'."
4,21,terms,"... 2.1.3 recognise the definitions of the **terms** equation, expression and formula and be...",PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,"The word 'terms' is correctly used in the phrase 'definitions of the terms equation, expression and formula'."
5,22,and,"...ons in one variable, where one is linear** and** the other is quadratic | 2.1.5 2.1.6 2....",PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,The conjunction 'and' is used correctly to connect two clauses in the sentence.
6,22,and,"...ons in one variable, where one is linear** and** the other is quadratic | |  |  |  | 2.1...",PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,The conjunction 'and' is used correctly to connect two clauses in the sentence.
7,35,mpg,"...tion. Units include: m/s, km/h, mph and **mpg**                                        ...",PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,'mpg' is a standard and correct abbreviation for 'miles per gallon' in the context of fuel consumption units.
8,35,mpg,"...tion. Units include: m/s, km/h, mph and **mpg** 3.5.9 recall and use other compound mea...",PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,'mpg' is a standard and correct abbreviation for 'miles per gallon' in the context of fuel consumption units.
9,36,cross sectional,"...3.6.3 3-D shapes: <ul><li>Surface area, **cross sectional** area, volume and capacity of a cube, cu...",PassCode.LTC,ErrorCategory.PARSING_ERROR,100,'cross-sectional' should be hyphenated as a compound adjective modifying 'area'.
10,36,cross sectional,"...3.6.3 3-D shapes: <ul><li>Surface area, **cross sectional** area, volume and capacity of a cube, cu...",PassCode.LTC,ErrorCategory.PARSING_ERROR,95,The compound adjective 'cross-sectional' should be hyphenated.
11,48,outside of,...ly their mathematical skills inside and **outside of** the classroom setting - access digital ...,PassCode.LTC,ErrorCategory.STYLISTIC_PREFERENCE,80,"While 'outside of' is grammatically acceptable, 'outside' alone is more concise and often preferred in formal writing."
12,49,multi-step,"...s to solve nonstandard or unstructured, **multi-step** problems fluently - make decisions when...",PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,'Multi-step' is correctly hyphenated as a compound adjective.
13,51,realworld,...and apply mathematical methods to these **realworld** contexts.  **Unit 2** focuses on mathem...,PassCode.LTC,ErrorCategory.PARSING_ERROR,95,The compound adjective 'real-world' should be hyphenated.
14,52,solar powered,"...for use on the desk - either battery or **solar powered** - free of lids, cases and covers which ...",PassCode.LTC,ErrorCategory.PARSING_ERROR,95,The compound adjective 'solar-powered' should be hyphenated.
15,53,frac,...ation Tier**  Area of a trapezium =  $$\**frac**{1}{2}(a+b)h$$  ![](_page_53_Picture_3.j...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,`\frac` is a correct LaTeX command for displaying fractions within a mathematical expression.
16,53,h$$,...rea of a trapezium =  $$\frac{1}{2}(a+b)**h$$**  ![](_page_53_Picture_3.jpeg)  #### **V...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,"The `h` is part of the correct mathematical formula, and `$$` correctly closes the LaTeX math environment."
17,53,cross section,"...g. Prism, Cylinder)**  Volume = area of **cross section** length  ![](_page_53_Picture_6.jpeg)  {...",PassCode.LTC,ErrorCategory.PARSING_ERROR,95,The compound noun 'cross-section' should be hyphenated in this mathematical context.
18,54,frac,...1 Higher Tier  Area of a trapezium =  $\**frac**{1}{2}(a+b)h$   ![](_page_54_Picture_3.j...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,`\frac` is a correct LaTeX command for displaying fractions within a mathematical expression.
19,54,h$,...Area of a trapezium =  $\frac{1}{2}(a+b)**h$**   ![](_page_54_Picture_3.jpeg)  Volume ...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,"The `h` is part of the correct mathematical formula, and `$` correctly closes the LaTeX inline math environment."
20,54,cross section,"...e.g. Prism, Cylinder)  Volume = area of **cross section**  $\times$  length  ![](_page_54_Picture...",PassCode.LTC,ErrorCategory.PARSING_ERROR,95,"The compound noun 'cross-section' should be hyphenated for clarity in this technical context, indicating a parsing error where the hyphen was lost."
21,54,frac,...icture_6.jpeg)  Volume of a sphere =  $\**frac**{4}{3}\pi r^3$   Surface area of a spher...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,The `**` characters are incorrectly applied markdown bolding syntax within a LaTeX command and should be removed.
22,54,frac,...4_Picture_9.jpeg)  Volume of a cone  $=\**frac**{1}{3}\pi r^2 h$   Curved surface area o...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,The `**` characters are incorrectly applied markdown bolding syntax within a LaTeX command and should be removed.
23,54,h$,... Volume of a cone  $=\frac{1}{3}\pi r^2 **h$**   Curved surface area of a cone =  $\pi...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,The `**` characters are incorrectly applied markdown bolding syntax within a LaTeX math expression and should be removed.
24,54,rl$,...  Curved surface area of a cone =  $\pi **rl$**   ![](_page_54_Picture_12.jpeg)  **Annu...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,The `**` characters are incorrectly applied markdown bolding syntax within a LaTeX math expression and should be removed.
