issue_id,page_number,issue,highlighted_context,pass_code,error_category,confidence_score,reasoning
0,5,of any of,...t replicate or overlap with the content **of any of** the other selected units.**  The qualif...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,90,The phrase 'of any of' is grammatically correct and contextually appropriate.
1,6,eassessment,"...ment of Unit 2 digitally through WJEC's **eassessment** platform.  # <span id=""page-6-2""></span...",PassCode.LTC,ErrorCategory.SPELLING_ERROR,100,'eassessment' is a clear misspelling of 'e-assessment' or 'eAssessment'.
2,7,be able demonstrate,...cted historical topic.  Learners should **be able demonstrate** skills of analysis and evaluation when ...,PassCode.LTC,ErrorCategory.PARSING_ERROR,80,Missing space between 'be' and 'able' in 'be able demonstrate'.
3,11,guerrilla,...deen military strategies: Soviet use of **guerrilla** warfare counterinsurgency vs. Mujahidee...,PassCode.LTC,ErrorCategory.SPELLING_ERROR,100,'guerrilla' is misspelled as 'guerilla' in the context.
4,11,guerrilla,...es.  #### **Article(s):**  [Articles on **guerrilla**](https://www.govinfo.gov/content/pkg/GO...,PassCode.LTC,ErrorCategory.SPELLING_ERROR,100,'guerrilla' is misspelled as 'guerilla' in the context.
5,14,Al Qaeda,"...(hours) | | <ul><li>the organisation of **Al Qaeda** from 1988, including:</li><li>support f...",PassCode.LTC,ErrorCategory.FALSE_POSITIVE,90,'Al Qaeda' is correctly spelled and is a proper noun.
6,14,Al Qaeda,... 1996– 2001.</li></ul> | Understand how **Al Qaeda** was founded under Osama bin Laden in 19...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,90,'Al Qaeda' is correctly spelled and is a proper noun.
7,14,Al Qaeda,...e: Learners know about the formation of **Al Qaeda** in 1988. Learners also know about the n...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,90,'Al Qaeda' is correctly spelled and is a proper noun.
8,14,Al Qaeda,...global jihadist | Video(s): Who are the **Al Qaeda**? | 2 hours |  {15}---------------------...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,90,'Al Qaeda' is correctly spelled and is a proper noun.
9,16,interests,...ities: Compare Al-Qaeda's attacks on US **interests** with similar attacks by other groups (e...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,90,'interests' is correctly spelled and contextually appropriate.
10,18,and,... the World Trade Centre and the Pentagon** and** what did these represent to both the | ...,PassCode.LTC,ErrorCategory.STYLISTIC_PREFERENCE,80,Comma before conjunction is stylistically preferred but not grammatically required.
11,19,al Qaeda,"...g Freedom on October 7, 2001, targeting **al Qaeda** and the Taliban in Afghanistan. The US ...",PassCode.LTC,ErrorCategory.FALSE_POSITIVE,90,al Qaeda is the correct spelling and capitalization for the organization.
12,23,to,...torrent this subjected many communities **to** unjustly. They can consider this when l...,PassCode.LTC,ErrorCategory.PARSING_ERROR,95,Missing word 'to' after 'torrent' creates a parsing error.
13,26,evidencebased,... and quantify change. Learners can draw **evidencebased** conclusions based on statistics and num...,PassCode.LTC,ErrorCategory.PARSING_ERROR,90,Missing hyphen in 'evidence-based' creates a parsing error.
14,27,crosscurricular,...tunities will allow learners to develop **crosscurricular** skills which underpin the four purposes...,PassCode.LTC,ErrorCategory.PARSING_ERROR,90,Missing hyphen in 'cross-curricular' creates a parsing error.
15,30,guerrilla,...nternal rivals. | | Mujahideen | Afghan **guerrilla** fighters who opposed the Soviet occupat...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,90,guerrilla is the correct spelling for the term.
16,30,organization,"... | The leader of the Al-Qaeda terrorist **organization**, who was given sanctuary by the Taliban...",PassCode.LTC,ErrorCategory.FALSE_POSITIVE,90,organization is the correct spelling for the term.
